country,popularity,is_explicit,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,social_media_users,social_media_pct,Total,65+,25-64 years,15-24 years,5-14 years,0-4 years
Argentina,77.77965972089467,0.29661632575033453,0.7022976486331486,0.6877420822557828,-5.965455056394571,0.46690881284649205,0.08759431466258842,0.23888358115083158,0.020690264094819347,0.19116902695469315,0.644175671190977,116.85509646339132,31300000.0,0.6826400066301138,45276788,0.11821907508103269,0.4943696094343088,0.153843974091095,0.15995918261692946,0.07360820294937882
Australia,87.29589832466782,0.33483535528596187,0.6311931446177547,0.62232187945311,-6.733349008280378,0.7130752936645485,0.06537361062969382,0.24488673751588677,0.012781777989216253,0.16009733487386868,0.512941540535336,125.88628653957251,20800000.0,0.7711129235560169,25921094,0.16569154064253616,0.527725874532919,0.12284929023443224,0.1244196714845446,0.059313623105567995
Austria,81.46893132997732,0.32152326787841523,0.664907916074242,0.6566392299120009,-6.818724359220689,0.6195288782999654,0.09097659378242325,0.22428134816508474,0.025526977113322833,0.17128938631210852,0.5269155439418975,127.17462490873459,7320000.0,0.8031978686727594,8922086,0.19441171044529273,0.5578643828360318,0.10386875894269569,0.09556509542723529,0.04829005234874445
Belarus,62.74338350760274,0.5215825960396798,0.6936245356007508,0.6526618790455397,-6.668690489869394,0.4948102186985331,0.1153488184151059,0.20811419088053928,0.0460129462016929,0.198517955494274,0.5416291738480984,122.05921965605731,5630000.0,0.6257224148661865,9578172,0.16829171578877472,0.5660080023620373,0.09729695812520385,0.11894576543415591,0.04945755828982816
Belgium,83.72535372848948,0.27001912045889104,0.6572588527724665,0.6501094424474188,-6.740435908221798,0.5629063097514341,0.07768786233269599,0.26278274875717017,0.03465443044703633,0.16101824091778205,0.5240097915869981,125.31196149139579,9170000.0,0.7798547446124539,11611416,0.194170547330317,0.525088843600126,0.11385949827307884,0.11525226552902763,0.05162884526745058
"Bolivia, Plurinational State of",82.07941120244695,0.3703307207034984,0.7083695545784745,0.6970824095354616,-5.8085832919135925,0.5147772892372395,0.09491182947811126,0.25598649887210856,0.022548052987191744,0.1809966430892755,0.627369374498184,122.27087715541961,7550000.0,0.6000731214929501,12079474,0.04910155856124199,0.44977339245069775,0.18990512335222542,0.20592279100894625,0.10529713462688856
Brazil,76.90878158810261,0.25304889704476813,0.6808084642734258,0.7085791184004282,-4.905066483159383,0.490193829567611,0.1421789004855297,0.40464905310242,0.004207611580838782,0.33970011086898344,0.6535438467714187,126.67612084719195,144000000.0,0.6766535721669831,214326220,0.09581063856769367,0.5452774746832189,0.15350515676523385,0.13896305827630423,0.0664436343812717
Bulgaria,61.45916949675826,0.2403905526397036,0.699664904291448,0.772238260265514,-5.35322175054029,0.3954538437789441,0.10614958706390862,0.1349760219203458,0.012233311469589378,0.17472884377894413,0.6288557463723371,135.36056321395492,4440000.0,0.6612495829957584,6885864,0.22421122461901657,0.5461127318227603,0.08972889967039721,0.09548997772828507,0.04445716615954076
Canada,86.48844387853532,0.4006250723463364,0.6299331326928271,0.6054323424779102,-6.981606590268936,0.6948335069645406,0.07235558127869739,0.2636731403750434,0.010730973717251223,0.16631307635914652,0.5014795828992553,124.72289373770113,31900000.0,0.7949818948480687,38155012,0.18521286272954127,0.5395360378867133,0.11791740492703816,0.10750438238625111,0.0498292858615796
Chile,77.88235970120667,0.6523654472323309,0.741117284045202,0.6803885141275617,-6.244035587052289,0.4042520589925302,0.10016413713847921,0.2253668687607738,0.026549951421949818,0.16403560620570773,0.6221306106109941,111.8199939092128,15200000.0,0.7653613563008878,19493184,0.1268114023855723,0.5525554470731924,0.13606371334718842,0.1255215669230845,0.0590478702709624
